y1 y2 y3 y4 y5 y6 y7 y8 y9
 1.289635 -1.917364 0.1532524 1.0230823 1.1988781 -0.066553 0.3669257 -1.070965 2.4342804
1.3383466 2.6910292 0.7033092 3.0170654 2.4827108 1.3089148 2.9714084 1.5278924 0.6495132
-1.536652 -2.556648 -0.299263 0.9064788 -1.292851  0.982832 1.5179173 -1.129203 0.2080587
-0.833568 0.3648918 -1.138489 -0.910104 -0.189812 -1.118086 -1.044178  -0.70758 1.8462009
0.8065818 0.7189344 -1.375675 -0.262539 0.7671215 0.4523473 -0.385947 1.7758333 0.7258891
3.3587025 0.1865985 0.9021182 -1.033479  -0.51676  -1.12995 1.4569646 -0.081884  -0.67742
-1.608383 -0.942403  0.003408  -3.60337 -1.741688 -1.124458 0.4385665 -0.611382 -0.446328
1.6854799 3.1060586 4.5127994 2.5207583 4.7054422  4.049468 3.4595189 3.7876758 5.1248003
 1.525149  2.459708 1.1336421 -0.604238  0.037944 0.8307662 -0.538156 -2.026951 -1.926079
-0.902111 -0.757552 -0.904292 -0.609975 0.9905467 0.0239856 0.4741931 1.6807504 -1.130138
1.8908829 -0.422259 -1.002202 1.5268363 1.4191405 0.3725615 0.6239057 0.0787626 0.0714613
2.3874226 0.9076641 2.5258758 -1.313914 -1.281193 -1.778678  0.164659 0.5778239 2.0935919
 1.555245 1.1173192 1.5229988 2.6207348 3.0300398  1.545901 0.3323185 2.8038933 0.8055808
 2.203318 -0.504894 2.2604712 2.1245828 1.6995441 -1.306066 0.0397444 -0.040851 2.0688127
3.3085924 2.0607585 2.5132565 0.3808428 -0.414993 0.8278387 -0.703763 1.1113167 1.4066712
-1.078707 0.0889736 2.0910207 -1.504403  0.925604 2.3176202 -0.512448 0.6914849 1.5239958
 1.698663 1.8988016  1.663071  1.241738 0.8160784 2.2323774  0.909029 2.2232761 -0.241787
0.3872083 2.2389228 0.8966138 0.9795809 -0.766126 1.6105438 0.4639137  -2.22834 0.8351029
1.3104547 1.7506226 -0.451305 -0.126933 0.3241795 1.0482139 2.9885031 1.6716699   2.27543
1.9672634 3.3606818 1.9445465 1.2125999 1.8733488 2.1082366 2.4053778 2.0909323 1.9697968
-0.668316  0.160911 -0.189398 1.9197282 2.2018144 0.4670731 1.5698555  -0.77742 0.3668794
0.1882422  -0.25124 -0.096466 -0.231649 1.1495928 0.0089483 0.8440655 -1.951046 -0.393269
2.6005246 0.6250662 1.9390029 2.5804146 2.7686338 2.7532518 3.3775707 2.0729973  1.970829
 0.610376 -0.721375 1.1715345 1.2422926 1.7681531 3.2172885 2.6276543 2.7723828 1.7803064
1.1411822 1.7792352  -0.69557 -0.177744 1.7105538 1.5403269 0.9215778 2.0184329 -0.230819
4.9325791 2.9439519 3.9718894 0.9589962 1.3157235 3.6449164 1.7767827 4.0495216 2.5605474
1.8298946 -0.474098 2.4446679 2.3288075 -1.151069 0.9988492 1.7553722 1.1329347 1.3287823
3.3614596 1.3256575 2.3602427 0.9348646 2.7572194    3.4119  2.186652 4.1588697 3.6986946
 1.328469 0.7753888 -0.453798 -0.594243 -0.332842 0.2022296 0.4087433 2.3261121 1.8263624
1.6015379 1.0004944 -0.214668 1.5952176 2.7506799 1.4334441 1.0451402  0.905284 2.3216479
 2.533929 2.8384451 2.1532819 0.5279904 0.9020918 0.3523894 3.8768424 4.3763461  2.117846
2.3492804 1.6437101 0.3712381 2.9247036 2.1992316 1.2980155 1.1649026 0.7059153 -0.343886
0.8856499 1.6965287 0.3192643 -0.484538 0.7736347 1.0126605 0.2796523 1.5338626 0.9774364
0.2198986 0.1652647 -3.260782  2.361714 -0.011967 -0.756806 -0.634785 0.6103076 -0.527754
0.4575575 -0.583948 -1.882768 1.2873899 1.3844092 3.5365117 0.7060622 0.2797796 1.8604719
-1.287062 1.6743292  0.267603 2.2136148  0.586966 1.3078372 1.5821277 -0.683461 1.3784513
1.4647507 1.5242194 2.2633849 -0.213274 2.3471038 1.1417328 -0.267662 1.9476815 1.3398218
 0.785871 -0.747256 0.3438718 -2.466497 -2.025726 0.4768089 0.6959099 -0.550676  0.702086
2.0910303 1.4700481 0.8323931 0.5565982 0.2950024 3.4912627 3.0153589 1.7182672  2.682206
1.4887098 0.8279524 0.4541772 1.6769822 -1.134778   1.82103 0.7740202 0.1647479 -2.104691
1.7436026 1.1023888 1.8863556 0.1341219 1.2663369 1.1939154 0.9046196 0.9707802 1.6639768
1.7901733 0.9192996 1.5612322  1.793174 0.3566508 1.1912845 1.1834977 1.5937663 -0.950326
0.9348909 -0.568908 2.7670702 2.6463201 0.0639991 1.7308478 3.4088712 3.3220866 0.2962673
0.7145077 0.0042815 1.2998423 1.8068378 0.3468222 0.0404091 0.9666483 3.0053977 1.3085721
1.9412542 1.1973429 2.0117475 2.5700176 -0.181391 1.7483714 1.2610058 2.2194746 -0.638999
3.0581107 2.2519183 1.5170003 0.6161129 0.8672047 0.3435042 1.4031029 3.7020939 1.7843658
2.7158525 -0.195831 -0.118488 2.7463833 1.4064908 0.0298897  -2.49045 -0.184352  -1.72119
0.5596582 -0.509306 1.2712513 1.7897269 0.2892652 1.9262904 2.6538862 0.4609217 0.3729521
1.0671761 -0.162858 0.5504248 0.1194424 1.7460087 2.0574571  2.656009 0.7250178 -0.013809
-1.076761 1.1167278 1.2470337 -1.055309 -3.188934 -1.726633 1.0538808 -0.488112 -0.707613
-0.089724 0.7081026 2.5609189 0.9103022  2.714643 -0.301284 -1.619601 0.2658101 1.8305671
2.9414166 1.4528868 2.3890973 2.7598981 1.8918818 2.0929336 2.2882468 2.9821857 2.9795517
0.0110802 0.9773703 -1.020392 -0.895709 -0.100163 -0.828585 0.8635074 2.2530204 0.2246232
2.3712157 2.9698158 1.2057503 1.4330915 0.6191098 2.8722213 -0.650787 1.6040592 -0.145582
2.6247197 0.1412368 1.8948922 4.0840772 1.1175122 2.5032116 4.0686413 0.4586154  2.486695
2.0098117 2.6525967 1.4114039 4.0065381 2.9555843 3.2624599 2.8089579  -0.21845  1.197047
-1.731309 1.2075047 -1.913117 -0.130727 -0.547379 0.4328323 0.1843658 0.4734196 1.4522844
0.0850013 -1.594645 -1.056414 0.3497079 1.2943959 1.1964503 -1.304739 -0.630111  -0.18353
2.6477022 0.0320256 0.3890197 -0.506301 0.4148754 0.4073125  0.668938 -0.400334 -0.480224
