edu gender ws1 ls1 lt1
13 2 4 6 7
12 2 11 12 7
13 2 7 11 5
12 2 16 15 9
13 2 9 7 5
16 2 20 20 8
13 2 10 8 2
16 1 11 20 10
13 2 6 7 4
16 2 13 15 9
13 2 11 13 4
13 2 11 9 2
12 2 5 6 3
11 2 6 5 10
12 2 9 15 8
18 2 9 10 3
12 2 8 9 8
17 1 17 19 9
13 2 15 19 7
18 1 8 10 7
11 2 4 6 4
12 2 4 3 5
12 2 11 12 7
12 1 19 9 6
16 1 11 11 3
13 2 18 17 5
13 2 6 6 5
13 2 11 9 9
12 2 7 8 4
12 2 12 12 7
11 2 7 9 4
13 2 14 15 5
12 2 9 8 7
12 2 14 13 3
9 2 8 6 3
13 2 15 12 6
13 1 5 4 2
11 2 6 2 7
14 1 7 9 7
14 1 9 7 4
13 2 6 5 5
12 2 6 5 4
13 1 12 9 2
18 2 13 20 9
16 2 13 21 8
16 2 10 19 11
12 1 11 9 9
13 2 11 8 9
18 2 9 8 5
10 2 7 9 4
12 2 7 6 1
12 2 3 1 5
10 1 7 7 4
11 2 10 9 3
16 2 4 6 6
12 2 16 6 7
13 2 9 9 9
18 2 7 7 6
12 2 6 2 5
16 1 19 11 10
16 2 5 4 4
14 2 10 9 5
12 2 13 12 6
13 2 14 19 8
14 2 10 5 4
12 2 8 8 4
12 2 14 18 7
13 2 11 9 8
9 2 8 13 3
13 2 3 7 4
17 2 13 19 11
13 2 16 11 4
12 2 9 11 5
12 1 2 4 3
20 1 18 22 9
13 2 15 17 4
16 1 30 30 14
13 1 14 23 9
12 2 13 11 8
12 2 16 11 9
12 2 8 8 8
6 2 4 1 5
13 1 10 13 6
16 2 14 20 5
13 1 20 17 9
11 2 2 4 5
16 2 18 21 6
12 2 12 14 6
13 2 8 13 4
14 2 4 4 5
12 1 13 13 12
13 2 7 7 10
12 2 11 15 6
18 2 9 13 8
9 2 9 10 3
13 1 7 7 7
12 2 12 20 9
20 2 16 13 6
14 2 17 13 5
12 2 5 2 4
12 2 12 11 4
12 2 13 10 10
13 2 13 7 5
12 2 11 14 7
20 2 17 20 8
13 2 18 23 10
16 2 11 16 4
9 2 9 6 5
14 2 8 9 6
13 2 4 8 4
12 2 10 13 6
8 2 6 10 5
16 1 10 11 10
12 2 5 5 4
13 2 8 10 5
18 1 18 17 9
13 2 13 13 7
12 1 14 10 8
12 2 4 4 1
16 2 15 17 4
13 2 2 4 1
16 1 12 15 10
13 2 14 18 6
13 2 11 12 6
13 2 8 9 5
13 2 10 11 5
10 2 6 6 4
9 2 9 9 4
12 2 7 11 7
12 2 7 8 6
18 1 12 10 5
13 1 3 4 1
12 2 9 8 5
13 2 5 4 5
12 2 7 9 6
13 2 20 19 10
13 2 7 12 4
16 2 7 11 2
12 2 9 12 6
16 1 11 16 9
13 2 13 18 11
16 1 19 15 11
16 2 14 15 8
18 1 22 24 10
17 2 20 16 8
6 2 8 6 8
12 2 8 7 6
18 2 12 14 6
12 2 15 14 8
12 2 14 14 5
13 2 20 11 10
12 2 10 12 6
16 1 13 17 8
12 2 14 13 7
14 2 9 8 2
13 2 7 1 3
12 1 12 12 8
20 1 19 26 11
16 1 9 11 6
10 1 4 1 6
12 2 8 10 7
13 2 9 8 10
12 2 19 20 7
12 2 12 14 8
13 2 10 16 5
13 1 13 11 7
7 2 4 3 6
13 2 16 15 9
16 2 9 10 5
18 2 10 16 4
11 2 8 5 6
13 2 9 11 7
7 2 5 4 3
12 2 2 3 0
12 2 11 5 2
13 2 20 19 8
12 2 19 16 9
13 2 11 15 12
12 1 8 6 2
13 2 7 7 4
13 2 13 16 7
13 1 14 16 7
12 2 12 12 7
13 2 7 3 3
17 2 7 17 5
12 2 5 3 4
13 1 8 9 8
12 2 16 12 6
13 1 14 14 4
12 2 8 14 5
12 2 16 22 8
14 2 18 17 7
16 2 23 24 14
16 2 13 18 10
13 2 15 13 6
